Localizzazionedellincidente,Territorio,Anno,Totale,Popolazione
strada urbana,Bari,2011,13,320312
strada urbana,Bari,2012,44,319915
strada urbana,Bari,2013,24,314311
strada urbana,Firenze,2004,45,367259
strada urbana,Firenze,2005,48,367659
strada urbana,Firenze,2006,41,366901
strada urbana,Firenze,2007,40,366433
strada urbana,Firenze,2008,35,366433
strada urbana,Firenze,2009,39,365873
strada urbana,Firenze,2010,50,367280
strada urbana,Firenze,2011,33,370091
strada urbana,Firenze,2012,74,372075
strada urbana,Firenze,2013,29,361679
strada urbana,Milano,2004,168,1271898
strada urbana,Milano,2005,152,1285669
strada urbana,Milano,2006,183,1308735
strada urbana,Milano,2007,157,1306086
strada urbana,Milano,2008,124,1306086
strada urbana,Milano,2009,111,1296958
strada urbana,Milano,2010,91,1301600
strada urbana,Milano,2011,72,1315802
strada urbana,Milano,2012,172,1333670
strada urbana,Milano,2013,64,1251137
strada urbana,Napoli,2004,73,1000449
strada urbana,Napoli,2005,86,997810
strada urbana,Napoli,2006,73,984242
strada urbana,Napoli,2007,71,979690
strada urbana,Napoli,2008,82,979690
strada urbana,Napoli,2009,89,968484
strada urbana,Napoli,2010,56,963300
strada urbana,Napoli,2011,79,961257
strada urbana,Napoli,2012,136,958156
strada urbana,Napoli,2013,60,960079
strada urbana,Palermo,2004,53,679730
strada urbana,Palermo,2005,30,677504
strada urbana,Palermo,2006,38,670820
strada urbana,Palermo,2007,43,668686
strada urbana,Palermo,2008,43,668686
strada urbana,Palermo,2009,51,661752
strada urbana,Palermo,2010,46,657757
strada urbana,Palermo,2011,31,655979
strada urbana,Palermo,2012,42,654998
strada urbana,Palermo,2013,17,655908
strada urbana,Roma,2004,231,2542003
strada urbana,Roma,2005,252,2547938
strada urbana,Roma,2006,222,2547677
strada urbana,Roma,2007,202,2626640
strada urbana,Roma,2008,180,2626640
strada urbana,Roma,2009,194,2710932
strada urbana,Roma,2010,165,2734071
strada urbana,Roma,2011,168,2752636
strada urbana,Roma,2012,282,2771584
strada urbana,Roma,2013,145,2626553
strada urbana,Torino,2004,96,867857
strada urbana,Torino,2005,95,885056
strada urbana,Torino,2006,80,900608
strada urbana,Torino,2007,79,900588
strada urbana,Torino,2008,58,900588
strada urbana,Torino,2009,67,910283
strada urbana,Torino,2010,67,909181
strada urbana,Torino,2011,60,908550
strada urbana,Torino,2012,114,906671
strada urbana,Torino,2013,69,870702
